Mod:Item:MetaData, Localized Name
railcraft:brick_nether:1, Fitted Nether Stone
railcraft:brick_nether:2, Nether Block
railcraft:brick_nether:3, Ornate Nether Stone
railcraft:brick_nether:4, Etched Nether Stone
railcraft:brick_nether:5, Nether Cobblestone
railcraft:brick_red_nether:0, Red Nether Brick
railcraft:brick_red_nether:1, Fitted Red Nether Stone
railcraft:brick_red_nether:2, Red Nether Block
railcraft:brick_red_nether:3, Ornate Red Nether Stone
railcraft:brick_red_nether:4, Etched Red Nether Stone
railcraft:brick_red_nether:5, Red Nether Cobblestone
railcraft:brick_andesite:0, Andesite Brick
railcraft:brick_andesite:1, Fitted Andesite
railcraft:brick_andesite:6, Polished Andesite
railcraft:brick_andesite:3, Ornate Andesite
railcraft:brick_andesite:4, Etched Andesite
railcraft:brick_andesite:5, Andesite Cobblestone
railcraft:brick_diorite:0, Diorite Brick
railcraft:brick_diorite:1, Fitted Diorite
railcraft:brick_diorite:4, Polished Diorite
railcraft:brick_diorite:3, Ornate Diorite
railcraft:brick_diorite:4, Etched Diorite
railcraft:brick_diorite:5, Diorite Cobblestone
railcraft:brick_granite:0, Granite Brick
railcraft:brick_granite:1, Fitted Granite
railcraft:brick_granite:2, Polished Granite
railcraft:brick_granite:3, Ornate Granite
railcraft:brick_granite:4, Etched Granite
railcraft:brick_granite:5, Granite Cobblestone
railcraft:brick_pearlized:0, Pearlized Brick
railcraft:brick_pearlized:1, Fitted Pearlized Stone
railcraft:brick_pearlized:2, Pearlized Block
railcraft:brick_pearlized:3, Ornate Pearlized Stone
railcraft:brick_pearlized:4, Etched Pearlized Stone
railcraft:brick_pearlized:5, Pearlized Cobblestone
railcraft:tool_stone_carver, Stone Carver
railcraft:concrete, Bag of Cement
railcraft:glass:0, Strengthened Glass
railcraft:glass:1, Orange Strengthened Glass
railcraft:glass:2, Magenta Strengthened Glass
railcraft:glass:3, Light Blue Strengthened Glass
railcraft:glass:4, Yellow Strengthened Glass
railcraft:glass:5, Lime Strengthened Glass
railcraft:glass:6, Pink Strengthened Glass
railcraft:glass:7, Gray Strengthened Glass
railcraft:glass:8, Light Gray Strengthened Glass
railcraft:glass:9, Cyan Strengthened Glass
railcraft:glass:10, Purple Strengthened Glass
railcraft:glass:11, Blue Strengthened Glass
railcraft:glass:12, Brown Strengthened Glass
railcraft:glass:13, Green Strengthened Glass
railcraft:glass:14, Red Strengthened Glass
railcraft:glass:15, Black Strengthened Glass
railcraft:generic:5, Creosote Wood Block
railcraft:generic:6, Block of Coal Coke
railcraft:generic:7, Crushed Obsidian
railcraft:generic:8, Abyssal Stone
railcraft:generic:9, Quarried Stone
railcraft:reinforced_concrete:0, White Reinforced Concrete
railcraft:reinforced_concrete:1, Orange Reinforced Concrete
railcraft:reinforced_concrete:2, Magenta Reinforced Concrete
railcraft:reinforced_concrete:3, Light Blue Reinforced Concrete
railcraft:reinforced_concrete:4, Yellow Reinforced Concrete
railcraft:reinforced_concrete:5, Lime Reinforced Concrete
railcraft:reinforced_concrete:6, Pink Reinforced Concrete
railcraft:reinforced_concrete:7, Gray Reinforced Concrete
railcraft:reinforced_concrete:8, Reinforced Concrete
railcraft:reinforced_concrete:9, Cyan Reinforced Concrete
railcraft:reinforced_concrete:10, Purple Reinforced Concrete
railcraft:reinforced_concrete:11, Blue Reinforced Concrete
railcraft:reinforced_concrete:12, Brown Reinforced Concrete
railcraft:reinforced_concrete:13, Green Reinforced Concrete
railcraft:reinforced_concrete:14, Red Reinforced Concrete
railcraft:reinforced_concrete:15, Black Reinforced Concrete
railcraft:post_metal:0, White Metal Post
railcraft:post_metal:1, Orange Metal Post
railcraft:post_metal:2, Magenta Metal Post
railcraft:post_metal:3, Light Blue Metal Post
railcraft:post_metal:4, Yellow Metal Post
railcraft:post_metal:5, Lime Metal Post
railcraft:post_metal:6, Pink Metal Post
railcraft:post_metal:7, Gray Metal Post
railcraft:post_metal:8, Light Gray Metal Post
railcraft:post_metal:9, Cyan Metal Post
railcraft:post_metal:10, Purple Metal Post
railcraft:post_metal:11, Blue Metal Post
railcraft:post_metal:12, Brown Metal Post
railcraft:post_metal:13, Green Metal Post
railcraft:post_metal:14, Red Metal Post
railcraft:post_metal:15, Black Metal Post
railcraft:post_metal_platform:0, White Metal Platform
railcraft:post_metal_platform:1, Orange Metal Platform
railcraft:post_metal_platform:2, Magenta Metal Platform
railcraft:post_metal_platform:3, Light Blue Metal Platform
railcraft:post_metal_platform:4, Yellow Metal Platform
railcraft:post_metal_platform:5, Lime Metal Platform
railcraft:post_metal_platform:6, Pink Metal Platform
railcraft:post_metal_platform:7, Gray Metal Platform
railcraft:post_metal_platform:8, Light Gray Metal Platform
railcraft:post_metal_platform:9, Cyan Metal Platform
railcraft:post_metal_platform:10, Purple Metal Platform
railcraft:post_metal_platform:11, Blue Metal Platform
railcraft:post_metal_platform:12, Brown Metal Platform
railcraft:post_metal_platform:13, Green Metal Platform
railcraft:post_metal_platform:14, Red Metal Platform
railcraft:post_metal_platform:15, Black Metal Platform
railcraft:track_kit:1, Activator Track Kit
railcraft:track_kit:2, Booster Track Kit
railcraft:track_kit:3, Buffer Stop Track Kit
railcraft:track_kit:4, Control Track Kit
railcraft:track_kit:5, Detector Track Kit
railcraft:track_kit:6, Disembarking Track Kit
railcraft:track_kit:7, Dumping Track Kit
railcraft:track_kit:8, Embarking Track Kit
railcraft:track_kit:9, Gated Track Kit
railcraft:track_kit:10, Locking Track Kit
railcraft:track_kit:11, One-Way Track Kit
railcraft:track_kit:15, Messenger Track Kit
railcraft:track_kit:16, Delayed Locking Track Kit
railcraft:track_kit:17, Priming Track Kit
railcraft:track_kit:18, Launcher Track Kit
railcraft:track_kit:19, Whistle Track Kit
railcraft:track_kit:20, Locomotive Track Kit
railcraft:track_kit:21, Throttle Track Kit
railcraft:track_kit:22, Routing Track Kit
railcraft:track_kit:23, Transition Track Kit
railcraft:track_kit:24, Coupler Track Kit
railcraft:tool_spike_maul_iron, Iron Spike Maul
railcraft:tool_spike_maul_steel, Steel Spike Maul
railcraft:railbed:0, Wooden Railbed
railcraft:railbed:1, Stone Railbed
railcraft:track_parts, Track Parts
railcraft:actuator:0, Switch Actuator Lever
railcraft:actuator:1, Switch Actuator Motor
railcraft:actuator:2, Routing Switch Actuator Motor
railcraft:cart_tnt_wood:0, Wooden TNT Cart
railcraft:track_elevator, Elevator Track
railcraft:logbook, Logbook
railcraft:tool_whistle_tuner, Whistle Tuner
railcraft:routing_table, Routing Table
railcraft:routing_ticket, Railway Ticket
railcraft:routing_ticket_gold, Golden Railway Ticket
railcraft:track_flex_abandoned, Abandoned Track
railcraft:track_flex_electric, Electric Track
railcraft:track_flex_high_speed, High Speed Track
railcraft:track_flex_hs_electric, High Speed Electric Track
railcraft:track_flex_reinforced, Reinforced Track
railcraft:track_flex_strap_iron, Strap Iron Track
railcraft:cart_cargo:0, Cargo Cart
railcraft:cart_tank:0, Tank Cart
railcraft:chest_void:0, Void Chest
railcraft:cart_chest_void:0, Void Chest Cart
railcraft:ore:0, Sulfur Ore
railcraft:ore:1, Saltpeter Ore
railcraft:ore:2, Dark Diamond Ore
railcraft:ore:3, Dark Emerald Ore
railcraft:ore:4, Dark Lapis Lazuli Ore
railcraft:ore_metal:0, Copper Ore
railcraft:ore_metal:1, Tin Ore
railcraft:ore_metal:2, Lead Ore
railcraft:ore_metal:3, Silver Ore
railcraft:ore_metal:4, Nickel Ore
railcraft:ore_metal:5, Zinc Ore
railcraft:ore_metal_poor:0, Poor Iron Ore
railcraft:ore_metal_poor:1, Poor Gold Ore
railcraft:ore_metal_poor:2, Poor Copper Ore
railcraft:ore_metal_poor:3, Poor Tin Ore
railcraft:ore_metal_poor:4, Poor Lead Ore
railcraft:ore_metal_poor:5, Poor Silver Ore
railcraft:ore_metal_poor:6, Poor Nickel Ore
railcraft:ore_metal_poor:7, Poor Zinc Ore
railcraft:ore_magic:0, Firestone Ore
railcraft:worldlogic, Saltpeter Ore Spawner
libvulpes:blockphantom, tile.blockPhantom.name
libvulpes:hatch:0, Input Hatch
libvulpes:hatch:1, Output Hatch
libvulpes:hatch:2, Fluid Input Hatch
libvulpes:hatch:3, Fluid Output Hatch
libvulpes:placeholder, Machine
libvulpes:structuremachine, Machine Structure
libvulpes:creativepowerbattery, Creative Power Input Plug
libvulpes:forgepowerinput, Power Input Plug
libvulpes:forgepoweroutput, Power Output Plug
libvulpes:coalgenerator, Coal Generator
libvulpes:motor, Motor
libvulpes:advancedmotor, Advanced Motor
libvulpes:enhancedmotor, Enhanced Motor
libvulpes:elitemotor, Elite Motor
libvulpes:advstructuremachine, Advanced Machine Structure
libvulpes:productdust:0, Dilithium Dust
libvulpes:productdust:1, Iron Dust
libvulpes:productdust:2, Gold Dust
libvulpes:productdust:3, Silicon Dust
libvulpes:productdust:4, Copper Dust
libvulpes:productdust:5, Tin Dust
libvulpes:productdust:6, Steel Dust
libvulpes:productdust:7, Titanium Dust
libvulpes:productdust:9, Aluminum Dust
libvulpes:productdust:10, Iridium Dust
libvulpes:productingot:3, Silicon Ingot
libvulpes:productingot:4, Copper Ingot
libvulpes:productingot:5, Tin Ingot
libvulpes:productingot:6, Steel Ingot
libvulpes:productingot:7, Titanium Ingot
libvulpes:productingot:9, Aluminum Ingot
libvulpes:productingot:10, Iridium Ingot
libvulpes:productgem:0, Dilithium Crystal
libvulpes:productboule:3, Silicon Boule
libvulpes:productnugget:3, Silicon Nugget
libvulpes:productnugget:4, Copper Nugget
libvulpes:productnugget:5, Tin Nugget
libvulpes:productnugget:6, Steel Nugget
libvulpes:productnugget:7, Titanium Nugget
libvulpes:productnugget:9, Aluminum Nugget
libvulpes:productnugget:10, Iridium Nugget
libvulpes:productplate:1, Iron Plate
libvulpes:productplate:2, Gold Plate
libvulpes:productplate:3, Silicon Plate
libvulpes:productplate:4, Copper Plate
libvulpes:productplate:5, Tin Plate
libvulpes:productplate:6, Steel Plate
libvulpes:productplate:7, Titanium Plate
libvulpes:productplate:9, Aluminum Plate
libvulpes:productplate:10, Iridium Plate
libvulpes:productrod:1, Iron Rod
libvulpes:productrod:4, Copper Rod
libvulpes:productrod:6, Steel Rod
libvulpes:productrod:7, Titanium Rod
libvulpes:productrod:10, Iridium Rod
libvulpes:productfan:6, Steel Fan
libvulpes:productsheet:1, Iron Sheet
libvulpes:productsheet:4, Copper Sheet
libvulpes:productsheet:6, Steel Sheet
libvulpes:productsheet:7, Titanium Sheet
libvulpes:productsheet:9, Aluminum Sheet
libvulpes:productgear:6, Steel Gear
libvulpes:productgear:7, Titanium Gear
libvulpes:ore0:0, Dilithium Ore
libvulpes:ore0:4, Copper Ore
libvulpes:ore0:5, Tin Ore
libvulpes:ore0:8, Rutile Ore
libvulpes:ore0:9, Aluminum Ore
libvulpes:ore0:10, Iridium Ore
libvulpes:metal0:4, Copper Block
libvulpes:metal0:5, Tin Block
libvulpes:metal0:6, Steel Block
libvulpes:metal0:7, Titanium Block
libvulpes:metal0:9, Aluminum Block
libvulpes:metal0:10, Iridium Block
libvulpes:coil0:2, Gold Coil
libvulpes:coil0:4, Copper Coil
libvulpes:coil0:7, Titanium Coil
libvulpes:coil0:9, Aluminum Coil
libvulpes:coil0:10, Iridium Coil
advancedrocketry:launchpad, Launch Pad
advancedrocketry:rocketbuilder, Rocket Assembling Machine
advancedrocketry:structuretower, Structure Tower
advancedrocketry:seat, Seat
advancedrocketry:rocketmotor, Liquid Fueled Engine
advancedrocketry:advrocketmotor, Advanced Rocket Engine
advancedrocketry:fueltank, Liquid Fuel Tank
advancedrocketry:fuelingstation, Fueling station
advancedrocketry:monitoringstation, Rocket Monitoring Station
advancedrocketry:satellitebuilder, Satellite Builder
advancedrocketry:moonturf, Moon Turf
advancedrocketry:moonturf_dark, Dark Moon Turf
advancedrocketry:hotturf, Oxidized Ferric Sand
advancedrocketry:loader:0, Data Bus
advancedrocketry:loader:1, Satellite Bay
advancedrocketry:loader:2, Rocket Unloader
advancedrocketry:loader:3, Rocket Loader
advancedrocketry:loader:4, Rocket Fluid Unloader
advancedrocketry:loader:5, Rocket Fluid Loader
advancedrocketry:loader:6, Guidance Computer Access Hatch
advancedrocketry:precisionassemblingmachine, Precision Assembler
advancedrocketry:blastbrick, HeatProof Brick
advancedrocketry:quartzcrucible, Quartz Crucible
advancedrocketry:crystallizer, Crystallizer
advancedrocketry:cuttingmachine, Cutting Machine
advancedrocketry:alienwood, Wood
advancedrocketry:alienleaves, Lightwood Leaves
advancedrocketry:aliensapling, Lightwood Sapling
advancedrocketry:observatory, Observatory
advancedrocketry:blackholegenerator, Black Hole Generator
advancedrocketry:concrete, Concrete
advancedrocketry:planetselector, Planet Selector
advancedrocketry:satellitecontrolcenter, Satellite Terminal
advancedrocketry:planetanalyser, Astrobody Data Processor
advancedrocketry:guidancecomputer, Guidance Computer
advancedrocketry:arcfurnace, Electric Arc Furnace
advancedrocketry:sawblade, Saw Blade Assembly
advancedrocketry:lathe, Lathe
advancedrocketry:rollingmachine, Rolling Machine
advancedrocketry:platepress, Small Plate Presser
advancedrocketry:stationbuilder, Space Station Assembler
advancedrocketry:electrolyser, Electrolyser
advancedrocketry:chemicalreactor, Chemical Reactor
advancedrocketry:oxygenscrubber, CO2 Scrubber
advancedrocketry:oxygenvent, Oxygen Vent
advancedrocketry:oxygencharger, Gas Charge Pad
advancedrocketry:airlock_door, tile.smallAirlockDoor.name
advancedrocketry:landingpad, Docking Pad
advancedrocketry:warpcore, Warp Core
advancedrocketry:warpmonitor, Warp Controller
advancedrocketry:oxygendetection, Atmosphere Detector
advancedrocketry:unlittorch, Extinguished Torch
advancedrocketry:geode, Geode Block
advancedrocketry:oxygenfluid, Oxygen
advancedrocketry:hydrogenfluid, Hydrogen
advancedrocketry:rocketfuel, Rocket Fuel
advancedrocketry:nitrogenfluid, Nitrogen
advancedrocketry:enrichedlavafluid, Enriched Lava Block
advancedrocketry:vitrifiedsand, Vitrified Sand
advancedrocketry:charcoallog, Charcoal Log
advancedrocketry:electricmushroom, Electric Mushroom
advancedrocketry:crystal:0, Violet Crystal Block
advancedrocketry:crystal:1, Blue Crystal Block
advancedrocketry:crystal:2, Green Crystal Block
advancedrocketry:crystal:3, Red Crystal Block
advancedrocketry:crystal:4, Yellow Crystal Block
advancedrocketry:crystal:5, Orange Crystal Block
advancedrocketry:orientationcontroller, Orientation Controller
advancedrocketry:gravitycontroller, Station Gravity Controller
advancedrocketry:drill, Drill
advancedrocketry:microwavereciever, Microwave Receiver
advancedrocketry:lightsource, tile.lightSource.name
advancedrocketry:solarpanel, Solar Panel
advancedrocketry:suitworkstation, Suit Workstation
advancedrocketry:biomescanner, Biome Scanner
advancedrocketry:terraformer, Atmosphere Terraformer
advancedrocketry:deployablerocketbuilder, Unmanned Vehicle Assembler
advancedrocketry:liquidtank, Pressurized Tank
advancedrocketry:intake, Gas Intake
advancedrocketry:circlelight, Station Light
advancedrocketry:solargenerator, Solar Generator
advancedrocketry:stationmarker, Station Docking Port
advancedrocketry:altitudecontroller, Altitude Controller
advancedrocketry:railgun, Railgun
advancedrocketry:astrobed, tile.astroBed.name
advancedrocketry:planetholoselector, Holographic Planet Selector
advancedrocketry:blocklens, Lens
advancedrocketry:forcefield, Force Field
advancedrocketry:forcefieldprojector, Force Field Projector
advancedrocketry:pipesealer, Pipe Seal
advancedrocketry:spaceelevatorcontroller, Space Elevator
advancedrocketry:beacon, Beacon
advancedrocketry:planks, Lightwood planks
advancedrocketry:thermitetorch, Thermite Torch
advancedrocketry:wirelesstransciever, Wireless Transciever
advancedrocketry:blockpump, Fluid Pump
advancedrocketry:centrifuge, Centrifuge
advancedrocketry:basalt, Basalt
advancedrocketry:landingfloat, Landing Float
advancedrocketry:gravitymachine, Area Gravity Controller
advancedrocketry:spacelaser, Orbital Laser Drill
advancedrocketry:productdust:0, Titanium Aluminide Dust
advancedrocketry:productdust:1, Titanium Iridium Alloy Dust
advancedrocketry:productingot:0, Titanium Aluminide Ingot
advancedrocketry:productingot:1, Titanium Iridium Alloy Ingot
advancedrocketry:productnugget:0, Titanium Aluminide Nugget
advancedrocketry:productnugget:1, Titanium Iridium Alloy Nugget
advancedrocketry:productplate:0, Titanium Aluminide Plate
advancedrocketry:productplate:1, Titanium Iridium Alloy Plate
advancedrocketry:productrod:0, Titanium Aluminide Rod
advancedrocketry:productrod:1, Titanium Iridium Alloy Rod
advancedrocketry:productsheet:0, Titanium Aluminide Sheet
advancedrocketry:productsheet:1, Titanium Iridium Alloy Sheet
advancedrocketry:productgear:0, Titanium Aluminide Gear
advancedrocketry:productgear:1, Titanium Iridium Alloy Gear
advancedrocketry:metal0:0, Titanium Aluminide Block
advancedrocketry:metal0:1, Titanium Iridium Alloy Block
libvulpes:linker, Linker
libvulpes:battery:0, Small Battery
libvulpes:battery:1, 2x Small Battery
libvulpes:holoprojector, Holo-Projector
advancedrocketry:iquartzcrucible, Quartz Crucible
advancedrocketry:orescanner, Ore Scanner
advancedrocketry:satellitepowersource:0, Basic Solar Panel
advancedrocketry:satellitepowersource:1, Large Solar Panel
advancedrocketry:satelliteprimaryfunction:0, Optical Sensor
advancedrocketry:satelliteprimaryfunction:1, Composition Sensor
advancedrocketry:satelliteprimaryfunction:2, Mass Detector
advancedrocketry:satelliteprimaryfunction:3, Microwave Transmitter
advancedrocketry:satelliteprimaryfunction:4, Ore Mapper
advancedrocketry:satelliteprimaryfunction:5, Biome Changer
advancedrocketry:itemcircuitplate:0, Basic Circuit Plate
advancedrocketry:itemcircuitplate:1, Advanced Circuit Plate
advancedrocketry:ic:0, Basic Circuit
advancedrocketry:ic:1, Tracking Circuit
advancedrocketry:ic:2, Advanced Circuit
advancedrocketry:ic:3, Control Circuit Board
advancedrocketry:ic:4, Item IO Circuit Board
advancedrocketry:ic:5, Liquid IO Circuit Board
advancedrocketry:wafer:0, Silicon Wafer
advancedrocketry:dataunit:0, Data Storage Unit
advancedrocketry:satellite, Satellite
advancedrocketry:satelliteidchip, Satellite Id Chip
advancedrocketry:planetidchip, Planet Id Chip
advancedrocketry:misc:0, User Interface
advancedrocketry:misc:1, Carbon Brick
advancedrocketry:sawbladeiron:0, Iron Saw Blade
advancedrocketry:spacestationchip:0, Space Station Id Chip
advancedrocketry:spacestation:0, Space Station Container
advancedrocketry:spacehelmet, Space Helmet
advancedrocketry:spaceboots, Space Boots
advancedrocketry:spacechestplate, Space Suit Chest-Piece
advancedrocketry:spaceleggings, Space Suit Legging
advancedrocketry:bucketrocketfuel, Tank of Rocket Fuel
advancedrocketry:bucketnitrogen, Tank of Nitrogen
advancedrocketry:buckethydrogen, Tank of Hydrogen
advancedrocketry:bucketoxygen, Tank of Oxygen
advancedrocketry:bucketenrichedlava, Tank of Enriched Lava
advancedrocketry:smallairlockdoor, Small Airlock Door
advancedrocketry:carbonscrubbercartridge, Carbon Collection Cartridge
advancedrocketry:sealdetector, Seal Detector
advancedrocketry:jackhammer, Jack Hammer
advancedrocketry:asteroidchip, Asteroid Chip
advancedrocketry:elevatorchip, Space Elevator Chip
advancedrocketry:lens:0, Basic Lens
advancedrocketry:jetpack, Jet Pack
advancedrocketry:pressuretank:0, Low Pressure Tank
advancedrocketry:pressuretank:1, Pressure Tank
advancedrocketry:pressuretank:2, High Pressure Tank
advancedrocketry:pressuretank:3, Super High Pressure Tank
advancedrocketry:itemupgrade:0, Hover Upgrade
advancedrocketry:itemupgrade:1, Flight Speed Control Upgrade
advancedrocketry:itemupgrade:2, Bionic Leg Upgrade
advancedrocketry:itemupgrade:3, Padded Landing Boots
advancedrocketry:itemupgrade:4, Anti-Fog Visor
advancedrocketry:atmanalyser, Atmosphere Analyzer
advancedrocketry:basiclasergun, Basic Laser Gun
advancedrocketry:beaconfinder, Beacon Finder
advancedrocketry:thermite, Thermite
advancedrocketry:hovercraft, HoverCraft
advancedrocketry:biomechanger, Biome Changer Remote
forge:bucketfilled, %s Bucket
appliedenergistics2:quartz_ore, Certus Quartz Ore
appliedenergistics2:charged_quartz_ore, Charged Certus Quartz Ore
appliedenergistics2:matrix_frame, Matrix Frame
appliedenergistics2:quartz_block, Certus Quartz Block
appliedenergistics2:quartz_pillar, Certus Quartz Pillar
appliedenergistics2:chiseled_quartz_block, Chiseled Certus Quartz Block
appliedenergistics2:quartz_glass, Quartz Glass
appliedenergistics2:quartz_vibrant_glass, Vibrant Quartz Glass
appliedenergistics2:quartz_fixture, Charged Quartz Fixture
appliedenergistics2:fluix_block, Fluix Block
appliedenergistics2:sky_stone_block, Sky Stone
appliedenergistics2:smooth_sky_stone_block, Sky Stone Block
appliedenergistics2:sky_stone_brick, Sky Stone Brick
appliedenergistics2:sky_stone_small_brick, Sky Stone Small Brick
appliedenergistics2:sky_stone_chest, Sky Stone Chest
appliedenergistics2:smooth_sky_stone_chest, Sky Stone Block Chest
appliedenergistics2:sky_compass, Meteorite Compass
appliedenergistics2:grindstone, Quartz Grindstone
appliedenergistics2:crank, Wooden Crank
appliedenergistics2:inscriber, Inscriber
appliedenergistics2:wireless_access_point, ME Wireless Access Point
appliedenergistics2:charger, Charger
appliedenergistics2:tiny_tnt, Tiny TNT
appliedenergistics2:security_station, ME Security Terminal
appliedenergistics2:quantum_ring, ME Quantum Ring
appliedenergistics2:quantum_link, ME Quantum Link Chamber
appliedenergistics2:spatial_pylon, Spatial Pylon
appliedenergistics2:spatial_io_port, Spatial IO Port
appliedenergistics2:controller, ME Controller
appliedenergistics2:drive, ME Drive
appliedenergistics2:chest, ME Chest
appliedenergistics2:interface, ME Interface
appliedenergistics2:fluid_interface, ME Fluid Interface
appliedenergistics2:cell_workbench, Cell Workbench
appliedenergistics2:io_port, ME IO Port
appliedenergistics2:condenser, Matter Condenser
appliedenergistics2:energy_acceptor, Energy Acceptor
appliedenergistics2:vibration_chamber, Vibration Chamber
appliedenergistics2:quartz_growth_accelerator, Crystal Growth Accelerator
appliedenergistics2:energy_cell, Energy Cell
appliedenergistics2:dense_energy_cell, Dense Energy Cell
appliedenergistics2:creative_energy_cell, Creative Energy Cell
appliedenergistics2:crafting_unit, Crafting Unit
appliedenergistics2:crafting_accelerator, Crafting Co-Processing Unit
appliedenergistics2:crafting_storage_1k, 1k Crafting Storage
appliedenergistics2:crafting_storage_4k, 4k Crafting Storage
appliedenergistics2:crafting_storage_16k, 16k Crafting Storage
appliedenergistics2:crafting_storage_64k, 64k Crafting Storage
appliedenergistics2:crafting_monitor, Crafting Monitor
appliedenergistics2:molecular_assembler, Molecular Assembler
appliedenergistics2:light_detector, Light Detecting Fixture
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, Sky Stone Stairs
appliedenergistics2:smooth_sky_stone_stairs, Sky Stone Block Stairs
appliedenergistics2:sky_stone_brick_stairs, Sky Stone Brick Stairs
appliedenergistics2:sky_stone_small_brick_stairs, Sky Stone Small Brick Stairs
appliedenergistics2:fluix_stairs, Fluix Stairs
appliedenergistics2:quartz_stairs, Certus Quartz Stairs
appliedenergistics2:chiseled_quartz_stairs, Chiseled Certus Quartz Stairs
appliedenergistics2:quartz_pillar_stairs, Certus Quartz Pillar Stairs
appliedenergistics2:cable_bus, AE2 Cable and/or Bus
appliedenergistics2:sky_stone_slab:0, Sky Stone Slabs
appliedenergistics2:smooth_sky_stone_slab:0, Sky Stone Block Slabs
appliedenergistics2:sky_stone_brick_slab:0, Sky Stone Brick Slabs
appliedenergistics2:sky_stone_small_brick_slab:0, Sky Stone Small Brick Slabs
appliedenergistics2:fluix_slab:0, Fluix Slabs
appliedenergistics2:quartz_slab:0, Certus Quartz Slabs
appliedenergistics2:chiseled_quartz_slab:0, Chiseled Certus Quartz Slabs
appliedenergistics2:quartz_pillar_slab:0, Certus Quartz Pillar Slabs
appliedenergistics2:certus_quartz_axe, Certus Quartz Axe
appliedenergistics2:certus_quartz_hoe, Certus Quartz Hoe
appliedenergistics2:certus_quartz_spade, Certus Quartz Shovel
appliedenergistics2:certus_quartz_pickaxe, Certus Quartz Pickaxe
appliedenergistics2:certus_quartz_sword, Certus Quartz Sword
appliedenergistics2:certus_quartz_wrench, Certus Quartz Wrench
appliedenergistics2:certus_quartz_cutting_knife, Certus Quartz Cutting Knife
appliedenergistics2:nether_quartz_axe, Nether Quartz Axe
appliedenergistics2:nether_quartz_hoe, Nether Quartz Hoe
appliedenergistics2:nether_quartz_spade, Nether Quartz Shovel
appliedenergistics2:nether_quartz_pickaxe, Nether Quartz Pickaxe
appliedenergistics2:nether_quartz_sword, Nether Quartz Sword
appliedenergistics2:nether_quartz_wrench, Nether Quartz Wrench
appliedenergistics2:nether_quartz_cutting_knife, Nether Quartz Cutting Knife
appliedenergistics2:entropy_manipulator, Entropy Manipulator
appliedenergistics2:wireless_terminal, Wireless Terminal
appliedenergistics2:charged_staff, Charged Staff
appliedenergistics2:matter_cannon, Matter Cannon
appliedenergistics2:portable_cell, Portable Cell
appliedenergistics2:color_applicator, Color Applicator
appliedenergistics2:biometric_card, Biometric Card
appliedenergistics2:memory_card, Memory Card
appliedenergistics2:network_tool, Network Tool
appliedenergistics2:creative_storage_cell, Creative ME Storage Cell
appliedenergistics2:view_cell, View Cell
appliedenergistics2:storage_cell_1k, 1k ME Storage Cell
appliedenergistics2:storage_cell_4k, 4k ME Storage Cell
appliedenergistics2:storage_cell_16k, 16k ME Storage Cell
appliedenergistics2:storage_cell_64k, 64k ME Storage Cell
appliedenergistics2:fluid_storage_cell_1k, 1k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_4k, 4k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_16k, 16k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_64k, 64k ME Fluid Storage Cell
appliedenergistics2:spatial_storage_cell_2_cubed, 2³ Spatial Storage Cell
appliedenergistics2:spatial_storage_cell_16_cubed, 16³ Spatial Storage Cell
appliedenergistics2:spatial_storage_cell_128_cubed, 128³ Spatial Storage Cell
appliedenergistics2:facade:0, Cable Facade - Stone
appliedenergistics2:facade:0, Cable Facade - Granite
appliedenergistics2:facade:0, Cable Facade - Polished Granite
appliedenergistics2:facade:0, Cable Facade - Diorite
appliedenergistics2:facade:0, Cable Facade - Polished Diorite
appliedenergistics2:facade:0, Cable Facade - Andesite
appliedenergistics2:facade:0, Cable Facade - Polished Andesite
appliedenergistics2:facade:0, Cable Facade - Grass Block
appliedenergistics2:facade:0, Cable Facade - Dirt
appliedenergistics2:facade:0, Cable Facade - Coarse Dirt
appliedenergistics2:facade:0, Cable Facade - Podzol
appliedenergistics2:facade:0, Cable Facade - Cobblestone
appliedenergistics2:facade:0, Cable Facade - Oak Wood Planks
appliedenergistics2:facade:0, Cable Facade - Spruce Wood Planks
appliedenergistics2:facade:0, Cable Facade - Birch Wood Planks
appliedenergistics2:facade:0, Cable Facade - Jungle Wood Planks
appliedenergistics2:facade:0, Cable Facade - Acacia Wood Planks
appliedenergistics2:facade:0, Cable Facade - Dark Oak Wood Planks
appliedenergistics2:facade:0, Cable Facade - Bedrock
appliedenergistics2:facade:0, Cable Facade - Sand
appliedenergistics2:facade:0, Cable Facade - Red Sand
appliedenergistics2:facade:0, Cable Facade - Gravel
appliedenergistics2:facade:0, Cable Facade - Gold Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Coal Ore
appliedenergistics2:facade:0, Cable Facade - Oak Wood
appliedenergistics2:facade:0, Cable Facade - Spruce Wood
appliedenergistics2:facade:0, Cable Facade - Birch Wood
appliedenergistics2:facade:0, Cable Facade - Jungle Wood
appliedenergistics2:facade:0, Cable Facade - Oak Leaves
appliedenergistics2:facade:0, Cable Facade - Spruce Leaves
appliedenergistics2:facade:0, Cable Facade - Birch Leaves
